	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YLR238W	621.0	686.0	661.0	708.0	954.0	865.0	547.0	515.0
YLR239C	609.0	700.0	831.0	849.0	1028.0	984.0	648.0	756.0
YLR240W	1078.0	1253.0	1208.0	1131.0	1346.0	1191.0	1068.0	950.0
YLR241W	1859.0	2424.0	2471.0	2182.0	3079.0	2475.0	2267.0	2332.0
YLR242C	149.0	200.0	236.0	227.0	161.0	125.0	150.0	167.0
YLR243W	1015.0	1312.0	1674.0	1551.0	1428.0	1223.0	908.0	1033.0
YLR244C	2249.0	2732.0	2090.0	1892.0	4990.0	5235.0	2653.0	3154.0
YLR245C	55.0	84.0	74.0	67.0	87.0	87.0	64.0	67.0
YLR246W	144.0	213.0	175.0	206.0	328.0	228.0	155.0	158.0
YLR247C	2394.0	3096.0	2952.0	2274.0	3669.0	2852.0	2190.0	2215.0
YLR248W	1960.0	2446.0	2808.0	2474.0	3961.0	3411.0	2827.0	3089.0
YLR249W	136769.0	173869.0	181307.0	157828.0	177198.0	156433.0	144285.0	167817.0
YLR250W	791.0	1018.0	854.0	1059.0	1122.0	951.0	715.0	751.0
YLR251W	160.0	167.0	78.0	108.0	162.0	157.0	86.0	84.0
YLR253W	943.0	1121.0	1236.0	931.0	1804.0	1800.0	1438.0	1395.0
YLR254C	308.0	388.0	465.0	377.0	587.0	548.0	325.0	383.0
YLR256W	2479.0	3178.0	3927.0	2991.0	4413.0	3721.0	3173.0	3369.0
YLR256W-A	201.0	323.0	44.0	45.0	483.0	352.0	316.0	179.0
YLR257W	3741.0	4887.0	4817.0	3821.0	8031.0	7545.0	3796.0	3789.0
YLR258W	4173.0	5673.0	3273.0	3122.0	6904.0	6574.0	2226.0	2373.0
YLR259C	6599.0	9245.0	5445.0	5030.0	16424.0	15570.0	7666.0	10682.0
YLR260W	779.0	957.0	867.0	836.0	1433.0	1272.0	777.0	919.0
YLR262C	396.0	542.0	625.0	626.0	678.0	595.0	505.0	617.0
YLR262C-A	698.0	1084.0	1155.0	1476.0	1484.0	1261.0	610.0	1169.0
YLR264W	3358.0	5398.0	6396.0	6126.0	1611.0	1386.0	2148.0	3825.0
YLR265C	314.0	449.0	276.0	320.0	530.0	472.0	258.0	273.0
YLR266C	475.0	660.0	671.0	576.0	639.0	460.0	773.0	755.0
YLR267W	12.0	16.0	19.0	17.0	18.0	33.0	77.0	111.0
YLR268W	671.0	1008.0	877.0	549.0	948.0	1023.0	579.0	709.0
YLR270W	890.0	1321.0	829.0	927.0	1800.0	1780.0	1194.0	1414.0
YLR271W	332.0	419.0	419.0	355.0	527.0	502.0	365.0	325.0
YLR272C	1552.0	1986.0	1625.0	1677.0	2369.0	2036.0	1600.0	1514.0
YLR273C	422.0	562.0	367.0	331.0	790.0	605.0	284.0	258.0
YLR274W	1577.0	1993.0	2108.0	1928.0	2474.0	2137.0	1355.0	1577.0
YLR275W	483.0	630.0	987.0	919.0	805.0	699.0	637.0	610.0
YLR276C	5233.0	6512.0	10233.0	8882.0	7265.0	6781.0	7199.0	6947.0
YLR277C	1135.0	1385.0	1329.0	1441.0	1336.0	1144.0	1179.0	1046.0
YLR278C	1238.0	1600.0	1270.0	1290.0	2149.0	1653.0	1182.0	1076.0
YLR283W	544.0	609.0	365.0	598.0	466.0	323.0	310.0	257.0
YLR284C	298.0	437.0	507.0	565.0	301.0	293.0	415.0	461.0
YLR285W	1245.0	1565.0	2027.0	1881.0	1456.0	1303.0	1360.0	1464.0
YLR286C	10829.0	12541.0	5396.0	6044.0	17250.0	13646.0	4924.0	4782.0
YLR287C	1103.0	1406.0	1192.0	1253.0	1301.0	1162.0	982.0	1063.0
YLR287C-A	30688.0	42464.0	39050.0	31944.0	22860.0	22004.0	27387.0	33835.0
YLR288C	559.0	797.0	761.0	560.0	884.0	808.0	605.0	574.0
YLR289W	285.0	397.0	374.0	334.0	642.0	518.0	383.0	366.0
YLR290C	385.0	448.0	329.0	376.0	723.0	607.0	340.0	395.0
YLR291C	1920.0	2045.0	2249.0	1612.0	1849.0	1635.0	2106.0	1887.0
YLR292C	1647.0	2061.0	2146.0	1825.0	3136.0	2907.0	2245.0	2398.0
YLR293C	10993.0	13893.0	14082.0	10530.0	14316.0	14331.0	9330.0	11300.0
YLR295C	999.0	1429.0	1274.0	1040.0	1134.0	1098.0	796.0	896.0
YLR297W	261.0	320.0	635.0	673.0	283.0	264.0	256.0	253.0
YLR298C	700.0	839.0	946.0	930.0	1484.0	1439.0	743.0	791.0
YLR299W	707.0	858.0	1265.0	1289.0	1143.0	1021.0	1161.0	1090.0
YLR300W	9458.0	13457.0	11631.0	9699.0	14653.0	12533.0	8154.0	10358.0
YLR301W	1275.0	1737.0	958.0	1117.0	1795.0	1533.0	1047.0	1271.0
YLR304C	8020.0	10297.0	12567.0	11548.0	10936.0	9854.0	13641.0	14300.0
YLR305C	3278.0	4662.0	3844.0	3609.0	4146.0	2984.0	3293.0	3069.0
YLR306W	90.0	110.0	92.0	96.0	176.0	123.0	64.0	90.0
YLR309C	2848.0	3436.0	2782.0	3177.0	4772.0	3746.0	3178.0	3085.0
YLR310C	2485.0	3233.0	3196.0	2833.0	4161.0	3310.0	2541.0	2402.0
YLR312C	68.0	85.0	75.0	72.0	94.0	90.0	52.0	54.0
YLR312W-A	387.0	550.0	413.0	413.0	730.0	656.0	399.0	448.0
YLR313C	226.0	267.0	255.0	321.0	358.0	268.0	277.0	211.0
YLR314C	2908.0	3694.0	2593.0	2310.0	6553.0	5946.0	3166.0	3328.0
YLR315W	64.0	65.0	56.0	60.0	83.0	72.0	41.0	27.0
YLR316C	184.0	213.0	292.0	258.0	489.0	462.0	217.0	291.0
YLR318W	271.0	306.0	348.0	292.0	398.0	319.0	234.0	209.0
YLR319C	1001.0	1209.0	1339.0	1173.0	1753.0	1546.0	1186.0	1261.0
YLR320W	617.0	814.0	861.0	892.0	1129.0	936.0	664.0	647.0
YLR321C	1499.0	1817.0	1762.0	1441.0	3089.0	2908.0	1512.0	1516.0
YLR323C	544.0	676.0	666.0	496.0	1010.0	858.0	693.0	703.0
YLR324W	968.0	1142.0	940.0	1085.0	1889.0	1686.0	1124.0	1172.0
YLR325C	27618.0	36638.0	36664.0	36062.0	56219.0	49579.0	25046.0	26241.0
YLR326W	262.0	355.0	340.0	265.0	541.0	565.0	224.0	294.0
YLR327C	58.0	100.0	30.0	29.0	131.0	91.0	37.0	64.0
YLR328W	777.0	742.0	753.0	645.0	1191.0	1156.0	665.0	743.0
YLR330W	3974.0	5036.0	5755.0	4638.0	7594.0	7029.0	5156.0	5059.0
YLR332W	332.0	388.0	465.0	390.0	576.0	395.0	455.0	356.0
YLR333C	5166.0	7273.0	8859.0	4078.0	7700.0	7707.0	4738.0	8504.0
YLR335W	3057.0	3750.0	3098.0	2241.0	4795.0	4510.0	3593.0	3460.0
YLR336C	1921.0	2228.0	4936.0	4640.0	2629.0	2372.0	1936.0	2049.0
YLR337C	469.0	520.0	434.0	365.0	1218.0	999.0	410.0	409.0
YLR340W	13754.0	22125.0	18058.0	18337.0	40626.0	39748.0	10863.0	20016.0
YLR342W	23895.0	33282.0	32766.0	28595.0	49316.0	38509.0	25536.0	30895.0
YLR344W	2058.0	3458.0	2620.0	2766.0	6347.0	5945.0	1579.0	2767.0
YLR345W	708.0	933.0	952.0	729.0	1070.0	930.0	915.0	954.0
YLR347C	2419.0	3080.0	2310.0	2082.0	4905.0	4097.0	2157.0	2354.0
YLR348C	679.0	816.0	495.0	413.0	1678.0	1390.0	1240.0	1349.0
YLR350W	435.0	495.0	411.0	454.0	664.0	624.0	293.0	380.0
YLR351C	1578.0	2022.0	1707.0	1269.0	2456.0	2371.0	1675.0	1970.0
YLR352W	284.0	306.0	297.0	271.0	471.0	376.0	306.0	357.0
YLR353W	633.0	790.0	803.0	738.0	1860.0	1569.0	659.0	672.0
YLR354C	4282.0	5731.0	3850.0	4252.0	4971.0	5015.0	4172.0	6156.0
YLR355C	16022.0	20505.0	13633.0	12203.0	47104.0	48870.0	18726.0	22528.0
YLR356W	531.0	620.0	602.0	411.0	668.0	674.0	662.0	582.0
YLR357W	2234.0	2844.0	3057.0	2369.0	4219.0	3727.0	2503.0	2350.0
YLR359W	4566.0	5149.0	5268.0	4114.0	5189.0	4561.0	10006.0	8690.0
YLR360W	296.0	395.0	268.0	272.0	639.0	452.0	251.0	289.0
YLR361C	750.0	1072.0	903.0	806.0	1461.0	1261.0	788.0	748.0
YLR361C-A	180.0	195.0	178.0	283.0	325.0	289.0	189.0	207.0
YLR362W	444.0	591.0	718.0	664.0	1076.0	929.0	614.0	664.0
YLR363C	382.0	485.0	668.0	679.0	486.0	406.0	444.0	461.0
YLR363W-A	197.0	278.0	354.0	384.0	372.0	428.0	211.0	253.0
YLR364W	27.0	35.0	24.0	37.0	34.0	44.0	12.0	24.0
YLR367W	428.0	611.0	408.0	422.0	5086.0	4981.0	2171.0	2902.0
YLR368W	691.0	881.0	657.0	604.0	1242.0	1028.0	777.0	597.0
YLR369W	909.0	1138.0	1216.0	989.0	1416.0	1192.0	1149.0	1078.0
YLR370C	1003.0	1139.0	950.0	865.0	904.0	879.0	812.0	944.0
YLR371W	1868.0	2564.0	2502.0	2232.0	3828.0	3161.0	2486.0	2507.0
YLR372W	2740.0	3538.0	4248.0	3919.0	2733.0	2429.0	2685.0	3126.0
YLR373C	480.0	589.0	577.0	494.0	1204.0	1014.0	482.0	568.0
YLR375W	374.0	430.0	545.0	342.0	707.0	598.0	513.0	461.0
YLR376C	169.0	220.0	179.0	205.0	370.0	348.0	180.0	150.0
YLR378C	3309.0	4813.0	5151.0	2734.0	4503.0	4119.0	5469.0	5738.0
YLR380W	1854.0	2116.0	1688.0	1418.0	4161.0	4349.0	2384.0	2204.0
YLR381W	225.0	295.0	285.0	258.0	274.0	257.0	223.0	281.0
YLR382C	708.0	912.0	940.0	798.0	1085.0	1053.0	898.0	1018.0
YLR383W	1150.0	1517.0	1435.0	1378.0	2448.0	1903.0	1313.0	1265.0
YLR384C	5223.0	7049.0	8163.0	7330.0	12501.0	11229.0	6325.0	6721.0
YLR385C	335.0	321.0	359.0	325.0	255.0	231.0	339.0	254.0
YLR386W	1886.0	2182.0	2314.0	1879.0	3024.0	2841.0	2108.0	2027.0
YLR387C	1698.0	2028.0	2618.0	2449.0	3163.0	2912.0	1967.0	2064.0
YLR388W	2421.0	3971.0	1521.0	3330.0	5238.0	4599.0	1052.0	1110.0
YLR389C	2657.0	3260.0	3172.0	2646.0	3757.0	3276.0	3413.0	3235.0
YLR390W	326.0	397.0	364.0	285.0	819.0	848.0	374.0	389.0
YLR390W-A	506.0	723.0	526.0	505.0	730.0	578.0	292.0	453.0
YLR392C	387.0	409.0	398.0	444.0	517.0	420.0	320.0	328.0
